district,area,unit_price,rooms,build_year,near_subway,url,crawl_time
明昇壹城,95.0,11264,,2021,是,https://cs.58.com/ershoufang/4327910332735501x.shtml?auction=201&hpType=60&entry=102&position=20&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_20&from=from_esf_List_search&index=23,2025-12-20 09:50:17
龙湖碧桂园天宸原著,143.81,9040,,2010,是,https://cs.58.com/ershoufang/3213895790305292x.shtml?auction=220&hpType=60&entry=102&position=19&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_19&from=from_esf_List_search&index=21,2025-12-20 09:50:18
万科魅力之城,107.0,9814,,2021,是,https://cs.58.com/ershoufang/4274232133409807x.shtml?auction=201&hpType=60&entry=102&position=18&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_18&from=from_esf_List_search&index=20,2025-12-20 09:50:20
中建·翡翠天序,110.0,14546,,2021,是,https://cs.58.com/ershoufang/3922735464931337x.shtml?auction=201&hpType=60&entry=102&position=17&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_17&from=from_esf_List_search&index=19,2025-12-20 09:50:22
中建·博萃府,100.0,13000,,2009,否,https://cs.58.com/ershoufang/4298303820095496x.shtml?auction=201&hpType=60&entry=102&position=16&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_16&from=from_esf_List_search&index=18,2025-12-20 09:50:24
嘉宇璟琇大泽湖,119.0,9664,,2091,是,https://cs.58.com/ershoufang/4256849137937420x.shtml?auction=201&hpType=60&entry=102&position=15&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_15&from=from_esf_List_search&index=17,2025-12-20 09:50:26
藏珑湖上国际花园,134.96,8744,,2021,是,https://cs.58.com/ershoufang/4368748330296334x.shtml?auction=201&hpType=60&entry=102&position=14&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_14&from=from_esf_List_search&index=16,2025-12-20 09:50:28
钰龙天下佳园(二期),112.96,16998,,2028,是,https://cs.58.com/ershoufang/4094132935781382x.shtml?auction=220&hpType=60&entry=102&position=13&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_13&from=from_esf_List_search&index=15,2025-12-20 09:50:30
恒大雅苑,136.18,8078,,2021,是,https://cs.58.com/ershoufang/4337948390137870x.shtml?auction=201&hpType=60&entry=102&position=12&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_12&from=from_esf_List_search&index=14,2025-12-20 09:50:32
藏珑湖上国际花园,144.33,8730,,2021,是,https://cs.58.com/ershoufang/4229989409008648x.shtml?auction=201&hpType=60&entry=102&position=11&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_11&from=from_esf_List_search&index=12,2025-12-20 09:50:34
